date,open,high,low,close,volume
02-01-2015,16.9152,16.9529,16.6239,16.8306,48951133
05-01-2015,16.7225,16.746,16.2571,16.3417,105605485
06-01-2015,16.3793,16.3981,15.7775,15.8528,144912399
07-01-2015,16.116,16.1536,15.8622,15.928,104603795
08-01-2015,16.1348,16.3041,16.0784,16.2571,73388499
09-01-2015,16.3417,16.3417,15.9374,15.9656,84144582
12-01-2015,16.0079,16.0126,15.6647,15.6835,92762501
13-01-2015,15.8151,15.881,15.345,15.4673,100845428
14-01-2015,15.0441,15.2463,14.8279,15.0817,164779753
15-01-2015,14.6586,14.8185,14.2449,14.2919,193241269
16-01-2015,14.2543,14.48,14.0757,14.4612,149802031
20-01-2015,14.6586,14.6962,14.2919,14.3483,123402773
21-01-2015,14.3671,14.6398,14.2449,14.4894,101054166
22-01-2015,14.621,15.2228,14.5082,15.1288,183042071
23-01-2015,15.0817,15.2228,14.7903,14.7903,103376863
26-01-2015,14.7809,14.9783,14.7621,14.9031,69969283
27-01-2015,14.621,14.8467,14.5552,14.6962,86184227
28-01-2015,14.7809,14.7903,14.2731,14.2919,105359816
29-01-2015,14.3954,14.5646,14.2919,14.5082,76095811
30-01-2015,14.3201,14.5458,14.2449,14.2449,99844602
02-02-2015,14.3577,14.5646,14.2167,14.5364,101586694
03-02-2015,14.6868,14.9783,14.6774,14.9407,105159425
04-02-2015,14.8467,15.0441,14.8091,14.8467,83848119
05-02-2015,15.0253,15.1288,14.9501,15.0159,92264706
06-02-2015,15.3262,15.7493,15.251,15.5049,160832299
09-02-2015,15.3732,15.5143,15.2792,15.3732,95532929
10-02-2015,15.5707,15.6271,15.3732,15.439,100322839
11-02-2015,15.3544,15.4673,15.2416,15.3826,99924367
12-02-2015,15.4296,15.7305,15.392,15.6741,116394126
13-02-2015,15.7305,15.7869,15.5519,15.6177,93632718
17-02-2015,15.5378,15.6835,15.392,15.6365,93350603
18-02-2015,15.5613,15.5707,15.2698,15.3262,84057353
19-02-2015,15.2416,15.4014,15.1194,15.2416,83604303
20-02-2015,15.1758,15.4484,15.0535,15.4014,89763586
23-02-2015,15.345,15.345,15.1382,15.2322,87623654
24-02-2015,15.298,15.5613,15.2792,15.4014,74109596
25-02-2015,15.392,15.5143,15.345,15.5049,57200974
26-02-2015,15.439,15.4578,14.9501,15.0817,161100671
